#  MJD-58000 counts error  run
 476.55473  36.33   7.77 0
 476.55588  42.81   7.45 0
 476.55704  42.99   7.70 0
 476.55820  29.76   6.73 0
 476.55936  35.46   7.24 0
 476.56051  23.26   5.48 0
 476.56167  39.70   7.72 0
 476.56283  28.56   6.09 0
 476.56398  66.82   9.68 0
 476.56514  42.39   7.88 0
 476.56630  44.05   7.56 0
 476.56746  33.63   6.85 0
 476.56861  30.40   7.09 0
 476.56977  44.62   7.87 0
 476.57093  41.83   7.62 0
 476.57209  38.80   7.47 0
 476.57324  49.60   8.17 0
 476.57440  43.61   8.06 0
 476.57556  47.12   8.07 0
 476.57672  59.15   9.02 0
 476.57787  48.42   7.97 0
 476.57903  38.08   7.24 0
 476.58019  40.96   7.60 0
 476.58135  36.05   7.29 0
 476.58250  51.17   8.21 0
 476.58366  27.27   5.95 0
 476.58482  34.84   6.86 0
 476.58598  32.24   6.85 0
 476.58713  36.16   7.31 0
 476.58829  54.62   8.75 0
 476.58945  27.75   6.06 0
 476.59061  32.89   6.83 0
 476.59176  32.49   6.50 0
 476.59292  45.75   7.97 0
 476.59408  41.99   7.66 0
 476.59523  27.51   6.01 0
 476.59639  40.08   7.44 0
 476.59755  28.52   7.33 0
 476.59871  25.02   5.76 0
 476.59986  38.05   7.30 0
 476.60102  37.61   7.22 0
 476.60218  25.88   6.34 0
 476.60334  44.93   7.73 0
 476.60449  31.90   6.53 0
 476.60565  36.18   7.31 0
 476.60681  38.81   8.00 0
 476.60797  37.24   7.53 0
 476.60912  35.12   6.76 0
 476.61028  45.70   8.14 0
 476.61144  26.25   6.17 0
 476.61260  29.86   6.23 0
 476.61375  27.13   6.19 0
 476.61491  40.63   7.31 0
 476.61607  30.94   6.32 0
 476.61723  44.11   7.57 0
 476.61838  38.05   7.30 0
 476.61954  21.37   5.94 0
 476.62070  32.26   6.87 0
 476.62186  27.33   6.52 0
 476.62301  42.84   7.69 0
 476.62417  42.81   8.10 0
 476.62533  26.73   6.28 0
 476.62648  28.56   6.09 0
 476.62764  29.68   6.19 0
 476.62880  37.58   6.98 0
 476.62996  37.89   7.05 0
 476.63111  32.58   7.93 0
 476.63227  34.95   6.97 0
 476.63343  27.04   6.18 0
 476.63459  31.04   7.08 0
 476.63574  31.41   6.67 0
 476.63690  30.98   6.33 0
 476.63806  33.93   7.06 0
 476.63922  31.87   6.53 0
 476.64037  30.10   6.28 0
 476.64153  33.54   6.98 0
 476.64269  32.71   7.04 0
 476.64385  29.47   6.42 0
 476.64500  27.10   6.72 0
 476.64616  37.97   7.53 0
 476.64732  30.32   6.34 0
 476.64848  24.13   6.00 0
 476.64963  38.14   7.10 0
 476.65079  37.70   7.24 0
 476.65195  20.68   5.17 0
 476.65311  19.63   6.38 0
 476.65426  39.06   7.59 0
 476.65542  20.67   5.77 0
 476.65658  45.89   8.00 0
 476.65773  44.95   7.94 0
 476.65889  44.42   7.62 0
 476.66005  28.16   6.44 0
 476.66121  33.17   6.66 0
 476.66236  36.60   7.39 0
 476.66352  25.25   6.10 0
 476.66468  34.97   7.38 0
 476.66584  27.09   6.47 0
 476.66699  27.24   6.21 0
 476.66815  31.13   6.35 0
 476.66931  26.23   5.88 0
 476.67047  32.37   6.97 0
 476.67162  33.23   6.67 0
 476.67278  34.69   7.07 0
 476.67394  33.03   6.87 0
 476.67510  62.09   9.27 0
 476.67625  45.03   7.74 0
 476.67741  31.49   6.95 0
 476.67857  23.29   6.27 0
 476.67973  30.44   6.36 0
 476.68088  13.37   4.96 0
 476.68204  28.51   6.99 0
 476.68320  42.65   7.66 0
 476.68436  27.33   5.97 0
 476.68551  34.69   6.68 0
 476.68667  45.54   8.43 0
 476.68783  27.55   6.31 0
 476.68898  19.42   5.34 0
 476.69014  30.19   6.31 0
 476.69130  30.19   6.58 0
 476.69246  25.00   5.75 0
 476.69361  35.99   6.95 0
 476.69477  24.47   5.90 0
 476.69593  29.86   6.48 0
 476.69709  18.43   5.56 0
 476.69824  42.51   7.53 0
 476.69940  28.59   6.10 0
 476.70056  31.07   6.60 0
 476.70172  20.95   5.86 0
 476.70287  36.82   6.97 0
 476.70403  33.67   6.86 0
 476.70519  32.55   6.51 0
 476.70635  33.66   6.60 0
 476.70750  37.11   7.26 0
 476.70866  35.07   7.24 0
 476.70982  21.84   6.02 0
 476.71098  27.75   6.07 0
 476.71213  37.87   7.05 0
 476.71329  34.30   6.75 0
 476.71445  40.77   7.57 0
 476.71561  39.17   7.38 0
 476.71676  28.95   7.05 0
 476.71792  26.13   6.40 0
 476.71908  30.41   6.35 0
 476.72023  19.92   5.16 0
 476.72139  30.70   6.93 0
 476.72255  26.54   6.23 0
 476.72371  39.42   7.44 0
 476.72486  24.06   5.69 0
 476.72602  41.87   7.63 0
 476.72718  37.14   7.13 0
 476.72834  46.73   8.13 0
 476.72949  45.40   8.23 0
 476.73065  46.52   8.10 0
 476.73181  38.35   7.37 0
 476.73297  44.21   8.03 0
 476.73412  36.36   7.03 0
 476.73528  25.74   6.32 0
 476.73644  45.35   7.89 0
 476.73760  46.20   8.04 0
 476.73875  43.47   7.80 0
 476.73991  36.40   7.13 0
 476.74107  80.81  10.53 0
 476.74223  98.22  11.35 0
 476.74338  85.35  10.76 0
 476.74454  88.06  10.95 0
 476.74570 103.81  12.21 0
 476.74686 118.95  12.74 0
 476.74801 128.46  13.26 0
 476.74917 152.37  14.57 0
 476.75033 164.79  14.63 0
 476.75148 214.64  17.12 0
 476.75264 223.10  17.74 0
 476.75380 215.40  17.48 0
 476.75496 292.48  19.55 0
 476.75611 294.19  19.80 0
 476.75727 272.32  19.20 0
 476.75843 309.26  20.54 0
 476.75959 282.20  19.80 0
 476.76074 252.07  18.42 0
 476.76190 269.82  19.15 0
 476.76306 237.68  18.17 0
 476.76422 260.04  18.61 0
 476.76537 237.35  18.13 0
 476.76653 231.55  17.66 0
 476.76769 196.32  16.30 0
 476.76885 201.47  16.39 0
 476.77000 162.39  14.94 0
 476.77116 144.21  14.20 0
 476.77232 171.37  15.49 0
 476.77348 153.86  14.57 0
 476.77463 138.76  13.55 0
 476.77579 115.03  12.33 0
 476.77695  82.86  11.02 0
 476.77811  98.65  11.47 0
 476.77926  89.52  10.88 0
 476.78042  85.35  10.82 0
 476.78158  95.85  11.54 0
 476.78273  67.52   9.37 0
 476.78389  61.97   9.25 0
 476.78505  59.93   9.22 0
 476.78621  62.65   9.17 0
 476.78736  61.40   9.27 0
 476.78852  48.14   8.25 0
 476.78968  38.85   7.34 0
 476.79084  33.57   7.30 0
 476.79199  44.48   8.07 0
 476.79315  41.11   8.24 0
 476.79431  59.30   9.41 0
 476.79547  18.38   5.25 0
 499.22255   5.21   2.61 1
 499.22371 109.61  12.27 1
 499.22486 122.28  12.68 1
 499.22602 150.98  14.34 1
 499.22718 168.43  14.92 1
 499.22834 168.63  15.15 1
 499.22949 197.63  16.50 1
 499.23065 197.86  16.58 1
 499.23181 243.61  18.26 1
 499.23297 266.20  19.01 1
 499.23412 243.34  18.07 1
 499.23528 228.68  17.80 1
 499.23644 252.11  18.73 1
 499.23760 248.92  18.40 1
 499.23875 279.90  19.01 1
 499.23991 238.75  17.93 1
 499.24107 223.54  17.45 1
 499.24223 226.76  17.38 1
 499.24338 181.87  15.86 1
 499.24454 189.42  15.90 1
 499.24570 183.42  15.97 1
 499.24686 157.18  14.75 1
 499.24801 139.71  13.90 1
 499.24917 153.59  14.78 1
 499.25033 104.75  12.17 1
 499.25148 119.82  12.51 1
 499.25264  94.72  11.29 1
 499.25380  92.83  11.28 1
 499.25496  78.86  10.57 1
 499.25611  80.23  10.44 1
 499.25727  65.93   9.78 1
 499.25843  74.38  10.04 1
 499.25959  51.88   8.97 1
 499.26074  68.71   9.93 1
 499.26190  58.45   9.27 1
 499.26306  61.14   9.16 1
 499.26422  43.07   7.72 1
 499.26537  46.33   8.35 1
 499.26653  29.49   7.41 1
 499.26769  34.11   7.18 1
 499.26885  46.87   8.02 1
 499.27000  43.96   7.76 1
 499.27116  31.18   6.63 1
 499.27232  30.95   6.32 1
 499.27348  47.85   8.27 1
 499.27463  38.56   7.28 1
 499.27579  39.82   7.69 1
 499.27695  34.97   6.73 1
 499.27811  28.38   6.05 1
 499.27926  30.08   6.81 1
 499.28042  33.79   7.04 1
 499.28158  32.67   6.55 1
 499.28273  32.78   7.05 1
 499.28389  32.32   6.46 1
 499.28505  19.63   5.40 1
 499.28621  17.75   5.93 1
 499.28736  34.97   7.68 1
 499.28852  31.39   6.42 1
 499.28968  28.42   6.06 1
 499.29084  33.99   6.68 1
 499.29199  23.26   6.33 1
 499.29315  28.12   6.71 1
 499.29431  39.55   7.89 1
 499.29547  38.11   7.09 1
 499.29662  31.05   6.34 1
 499.29778  38.57   7.42 1
 499.29894  39.25   7.18 1
 499.30010  30.28   6.33 1
 499.30125  34.68   6.68 1
 499.30241  32.15   6.43 1
 499.30357  42.06   7.45 1
 499.30473  37.48   7.19 1
 499.30588  33.40   6.81 1
 499.30704  35.73   7.79 1
 499.30820  34.72   6.92 1
 499.30936  31.18   6.63 1
 499.31051  30.23   6.31 1
 499.31167  38.99   7.36 1
 499.31283  47.34   7.91 1
 499.31398  37.21   7.15 1
 499.31514  39.68   7.13 1
 499.31630  38.79   7.08 1
 499.31746  38.89   7.10 1
 499.31861  40.92   7.37 1
 499.31977  42.89   7.62 1
 499.32093  29.45   6.14 1
 499.32209  36.26   7.10 1
 499.32324  40.46   7.27 1
 499.32440  38.19   7.33 1
 499.32556  34.89   6.95 1
 499.32672  41.12   7.49 1
 499.32787  30.99   7.08 1
 499.32903  29.97   7.24 1
 499.33019  48.02   8.03 1
 499.33135  43.88   7.53 1
 499.33250  35.02   7.46 1
 499.33366  34.82   7.19 1
 499.33482  37.72   7.91 1
 499.33598  49.96   8.53 1
 499.33713  42.72   8.01 1
 499.33829  38.48   7.71 1
 499.33945  36.14   7.53 1
 499.34061  32.41   7.14 1
 499.34176  32.63   7.24 1
 499.34292  31.68   7.02 1
 499.34408  33.40   7.04 1
 499.34523  36.01   6.81 1
 499.34639  46.75   7.79 1
 499.34755  36.47   7.14 1
 499.34871  38.78   7.31 1
 499.34986  36.51   7.59 1
 499.35102  41.31   7.95 1
 499.35218  45.62   7.85 1
 499.35334  28.46   7.06 1
 499.35449  39.24   7.40 1
 499.35565  31.27   7.36 1
 499.35681  48.11   8.13 1
 499.35797  26.94   5.88 1
 499.35912  37.47   7.19 1
 499.36028  26.73   6.77 1
 499.36144  38.75   7.55 1
 499.36260  46.20   8.05 1
 499.36375  46.64   8.72 1
 499.36491  37.45   7.86 1
 499.36607  45.59   8.92 1
 499.36723  43.55   8.33 1
 499.36838  32.73   8.19 1
 499.36954  48.76  10.07 1
 499.37070  46.19   9.76 1
 499.37186  61.24  10.53 1
 499.37301  46.87   9.72 1
 499.37417  45.53   9.26 1
 499.37533  42.63   8.78 1
 499.37648  48.05  10.58 1
 499.37764  69.77  10.87 1
 499.37880  43.72  10.94 1
 499.37996  34.40  11.02 1
 499.38111  43.06  10.48 1
 499.38227  24.84   9.41 1
 499.38343  25.71   7.32 1
 499.38459  34.20   9.34 1
 499.38574  41.74  10.00 1
 499.38690  46.82  10.96 1
 499.38806  40.18  10.25 1
 499.38922  15.71   7.68 1
 499.39037  25.11  10.53 1
 499.39153  28.77   8.69 1
 499.39269  43.25   9.68 1
 499.39385  37.69   9.56 1
 499.39500  46.75   9.26 1
 499.39616  36.03   7.07 1
 499.39732  43.78   9.21 1
 499.39848  36.29  10.69 1
 499.39963  31.76   7.24 1
 499.40079  28.62   7.80 1
 499.40195  32.50   8.45 1
 499.40311  39.75   7.99 1
 499.40426  28.29   8.61 1
 499.40542  36.83   8.90 1
 499.40658  36.47   8.68 1
 499.40773  33.02   9.23 1
 499.40889  38.34   9.24 1
 499.41005  42.17   9.67 1
 499.41121  33.85  10.40 1
 499.41236  41.88  11.73 1
 499.41352  43.88   9.88 1
 499.41468  22.23   9.74 1
 499.41584  46.56   9.63 1
 499.41699  42.17  10.02 1
 499.41815  31.76   9.69 1
 499.41931  43.52   9.07 1
 499.42047  50.96  11.13 1
 499.42162  27.55  10.06 1
 499.42278  38.95  11.53 1
 499.42394  13.49   6.68 1
 499.42510  13.09   9.04 1
 499.42625  32.02  10.36 1
 499.42741  55.69  11.00 1
 499.42857  43.16   9.69 1
 499.42973  47.96   9.95 1
 499.43088  27.12  10.10 1
 499.43204  40.22   8.51 1
 499.43320  29.17  10.20 1
 499.43436  36.45   9.70 1
 499.43551  32.99   9.61 1
 499.43667  33.11  11.07 1
 499.43783  33.44  10.11 1
 499.43898  30.56   9.61 1
 499.44014  42.20  11.02 1
 499.44130  19.59  10.00 1
 499.44246  48.06  10.96 1
 499.44361  58.23  10.41 1
 499.44477  21.83   6.92 1
 499.44593  16.83   9.31 1
 499.44709  12.59   9.45 1
 499.44824  26.97   9.11 1
 499.44940  44.96  11.46 1
 499.45056  39.00   9.00 1
 499.45172  35.51   7.98 1
 499.45287  48.90  10.30 1
 499.45403  35.85   8.28 1
 499.45519  33.96   8.45 1
 499.45635  32.81   8.85 1
 499.45750  29.39   8.72 1
 499.45866  21.62   5.72 1
 499.45982  22.66   5.52 1
 499.46098  50.40   8.07 1
 499.46213  41.52   8.00 1
 499.46329  45.65   8.28 1
 499.46445  31.16   8.20 1
 499.46561  39.46   8.62 1
 499.46676  35.02   7.58 1
 499.46792  36.31   7.77 1
 499.46908  37.90   7.72 1
 499.47023  30.47   7.77 1
 499.47139  35.01   7.89 1
 499.47255  24.78   7.05 1
 499.47371  38.90   7.47 1
 499.47486  40.74   7.98 1
 499.47602  48.70   8.81 1
 499.47718  19.39   7.80 1
 499.47834  16.99   7.48 1
 499.47949  25.84   8.17 1
 499.48065  22.03   8.07 1
 499.48181  27.84   7.77 1
 499.48297  17.23   7.53 1
 499.48412  25.63   7.67 1
 499.48528  24.50   8.37 1
 499.48644  20.87   8.04 1
 499.48760  26.14   8.23 1
 499.48875  28.61   9.16 1
 499.48991  22.16   7.44 1
 499.49107  41.13   8.13 1
 499.49223  32.98   8.59 1
 499.49338  36.45   8.63 1
 499.49454  25.32   7.35 1
 499.49570  23.73   6.43 1
 499.49686  31.75   8.11 1
 499.49801  19.43   5.92 1
 499.49917  32.52   9.34 1
 499.50033  36.21   7.49 1
 499.50148  32.84   7.74 1
 499.50264  28.53   8.40 1
 499.50380  22.39   7.97 1
 499.50496  30.40   8.20 1
 499.50611  36.06   8.74 1
 499.50727  21.47   8.25 1
 499.50843  14.15   8.18 1
 499.50959  36.93   9.31 1
 499.51074  10.48   7.40 1
 499.51190  32.92   8.39 1
 499.51306  27.27   6.91 1
 499.51422  40.82   9.34 1
 499.51537  25.85   7.43 1
 499.51653  20.77   6.35 1
 499.51769  31.53   8.51 1
 499.51885  25.94   8.42 1
 499.52000  43.68   9.03 1
 499.52116  27.27   8.92 1
 499.52232  42.01  10.55 1
 499.52348  22.02   8.90 1
 499.52463  24.53   8.08 1
 499.52579  29.27   9.30 1
 499.52695  26.08   8.92 1
 499.52811  14.22   5.84 1
 499.52926  29.10   7.79 1
 499.53042  28.68   7.64 1
 499.53158  23.83   9.25 1
 499.53273  33.65  10.40 1
 499.53389  12.79   8.47 1
 499.53505  24.11  11.30 1
 499.53621  34.72  10.24 1
 499.53736  27.88   8.81 1
 499.53852  19.49   7.64 1
 499.53968  16.63   8.33 1
 499.54084  38.59  10.48 1
 499.54199  28.42   8.79 1
 499.54315  39.39   9.54 1
 499.54431  26.28   8.86 1
 499.54547  34.11   7.41 1
 499.54662  16.68   7.19 1
 499.54778  25.29   8.75 1
 499.54894  20.65   9.67 1
 499.55010  26.11   8.63 1
 499.55125  36.93   8.88 1
 499.55241  13.26   8.16 1
 499.55357  28.54   8.26 1
 499.55473  19.63   6.52 1
 499.55588  31.21   8.19 1
 499.55704  16.16   6.18 1
 499.55820  24.64   8.06 1
 499.55936  27.64   7.73 1
 499.56051  30.91   6.96 1
 499.56167  28.42   6.32 1
 499.56283  23.19   6.31 1
 499.56398  27.54   6.54 1
 499.56514  20.95   5.55 1
 499.56630  21.98   5.33 1
 499.56746  23.89   6.73 1
 499.56861  19.59   5.97 1
 499.56977  11.48   4.65 1
 499.57093  19.31   6.43 1
 499.57209  19.18   6.42 1
 499.57324  18.08   6.66 1
 499.57440  26.33   6.19 1
 499.57556  27.29   5.96 1
 499.57672  18.63   5.31 1
 499.57787  31.11   6.61 1
 499.57903  25.18   5.80 1
 499.58019  42.83   7.46 1
 499.58135  34.40   7.36 1
 499.58250  42.70   7.65 1
 499.58366  26.12   7.26 1
 499.58482  27.65   7.08 1
 499.58598  28.83   7.15 1
 499.58713  36.98   8.50 1
 499.58829  38.72   9.51 1
 499.58945  37.90   8.15 1
 499.59061  26.67   9.13 1
 499.59176  32.17   6.68 1
 499.59292  32.36   6.96 1
 499.59408  34.57   6.80 1
 499.59523  35.54   7.09 1
 499.59639  33.05   6.63 1
 499.59755  46.45   8.28 1
 499.59871  48.85   8.13 1
 499.59986  39.04   7.61 1
 499.60102  43.94   8.09 1
 499.60218  59.97   9.15 1
 499.60334  68.78   9.64 1
 499.60449  59.24   8.73 1
 499.60565  97.21  11.53 1
 499.60681 121.84  13.75 1
 499.60797  84.98  11.01 1
 499.60912 125.82  13.66 1
 499.61028 132.74  14.72 1
 499.61144 131.89  15.39 1
 499.61260 145.59  15.10 1
 499.61375 151.97  14.76 1
 499.61491 198.75  16.72 1
 499.61607 209.65  17.09 1
 499.61723 202.32  16.81 1
 499.61838 204.66  17.21 1
 499.61954 184.36  16.15 1
 499.62070 185.38  16.24 1
 499.62186 184.98  17.63 1
 499.62301 187.67  17.01 1
 499.62417 201.01  18.06 1
 499.62533 165.48  17.86 1
 499.62648 159.97  15.98 1
 499.62764 128.99  15.58 1
 499.62880 151.78  14.77 1
 499.62996 141.03  14.21 1
 499.63111 111.92  12.76 1
 499.63227 109.88  12.34 1
 499.63343  97.15  11.65 1
 499.63459 102.76  12.03 1
 499.63574  74.26  10.02 1
 499.63690  81.70  10.30 1
 499.63806  82.38  10.78 1
 499.63922  63.48  10.54 1
 499.64037  67.24  10.36 1
 499.64153  44.24  10.42 1
 499.64269  49.37   8.76 1
 499.64385  60.96   9.20 1
 499.64500  59.41   9.07 1
 499.64616  61.98   9.65 1
 499.64732  37.50   8.30 1
 499.64848  35.19   9.27 1
 499.64963  40.18   7.90 1
 499.65079  49.47   8.64 1
 499.65195  46.51   8.94 1
 499.65311  40.96   9.56 1
 499.65426  27.10   9.02 1
 499.65542  29.63   6.94 1
 499.65658  30.86   7.63 1
 499.65773  42.58   8.55 1
 499.65889  37.66   7.91 1
 499.66005  36.68   8.31 1
 499.66121  31.25   8.44 1
 499.66236  33.73   9.27 1
 499.66352  34.55   9.50 1
 499.66468  20.96   8.65 1
 499.66584  24.48   9.63 1
 499.66699  41.86   8.05 1
 499.66815  19.74   6.79 1
 499.66931  36.70   7.62 1
 499.67047  29.95   8.73 1
 499.67162  45.64  10.94 1
 499.67278  39.05   9.21 1
 499.67394  28.39   8.33 1
 499.67510  53.05  10.60 1
 499.67625  40.01  10.80 1
 499.67741  33.16   9.88 1
 499.67857  33.78   8.42 1
 499.67973  50.57  10.59 1
 499.68088  44.01   8.82 1
 499.68204  33.74   8.59 1
 499.68320  20.19   9.29 1
 499.68436  30.65  10.20 1
 499.68551  31.75  10.58 1
 499.68667  28.84   9.17 1
 499.68783  44.39   9.14 1
 499.68898  49.90  10.72 1
 499.69014  35.70   8.82 1
 499.69130  39.33   9.18 1
 499.69246  23.36   7.59 1
 499.69361  49.77   8.68 1
 499.69477  43.55   9.95 1
 499.69593  40.70   7.32 1
 499.69709  40.05   7.42 1
 499.69824  31.05   6.59 1
 499.69940  43.20   8.15 1
 499.70056  39.29   7.19 1
 499.70172  33.01   6.86 1
 499.70287  32.57   6.52 1
 499.70403  43.22   7.75 1
 499.70519  40.58   7.30 1
 499.70635  31.04   6.58 1
 499.70750  40.76   7.57 1
 499.70866  40.04   7.85 1
 499.70982  28.30   6.03 1
 499.71098  45.93   7.78 1
